model,zone,load_area,mae,rmse,mape,bias,n
Persistence,DEOK,DEOK,251.86625163398693,317.56705929030306,7.365912731251228,-46.925895424836604,612.0
Persistence,EKPC,EKPC,136.18883791469193,183.3746120342685,10.164583910838477,23.474267298578198,1055.0
Persistence,AP,AP,317.37973390224977,438.56034858907765,6.196862601389711,-15.917871993793641,1289.0
Persistence,ATSI,OE,369.67717843289375,556.08390403061,5.579867058887795,-20.26731031807603,1289.0
Persistence,ATSI,PAPWR,46.45114429790535,59.4078144815283,9.083059677041133,-2.0393134212567885,1289.0
Persistence,OVEC,OVEC,6.633410672853828,9.050472891038941,18.74930860341035,0.31167826759474093,1293.0
Persistence,AEP,AEPAPT,221.2519102760736,298.6025401067294,5.9226947499649185,8.133082055214723,1304.0
Persistence,AEP,AEPIMP,177.7814171779141,245.01468606282506,5.433532609909538,8.15690490797546,1304.0
Persistence,AEP,AEPKPT,29.021933282208586,40.54907031694132,5.167405585318666,0.06341180981595063,1304.0
Persistence,AEP,AEPOPT,332.90890950920243,483.6496549151667,4.192056529279509,5.885900306748465,1304.0
Persistence,CE,CE,688.0178190184049,986.4608692155368,7.142433879658343,12.682670245398766,1304.0
OLS,DEOK,DEOK,229.53757311995852,284.5663601093726,6.735707371140787,-19.15899128783073,612.0
OLS,EKPC,EKPC,177.8762016459711,227.982496390687,13.65537858560382,124.14433731832585,1055.0
OLS,AP,AP,310.927531033774,402.94753240436415,6.2744920635568855,162.81344172336978,1289.0
OLS,ATSI,OE,350.5328908569002,485.0566208119739,5.434172737075175,152.9198445375438,1289.0
OLS,ATSI,PAPWR,92.5068149281411,122.82643694854154,18.474854726123098,50.08689358979814,1289.0
OLS,OVEC,OVEC,95.54038826730498,129.65701549068572,277.14066640373574,43.485355775567605,1293.0
OLS,AEP,AEPAPT,235.87356059843773,294.0658217115685,6.517798118096539,147.61928471618097,1304.0
OLS,AEP,AEPIMP,157.53231320902606,210.8615479863148,4.898236038402565,63.91221430253122,1304.0
OLS,AEP,AEPKPT,91.14094144550852,124.75193814178034,16.821577748628265,48.14772167098539,1304.0
OLS,AEP,AEPOPT,306.3811153256288,424.04362829344507,3.8894205265549036,100.8236508250778,1304.0
OLS,CE,CE,678.9283217619416,916.301062200439,7.225179415671789,282.1308838615954,1304.0
Ridge,DEOK,DEOK,229.53746003158506,284.5659908903097,6.735705122662929,-19.15962015180829,612.0
Ridge,EKPC,EKPC,177.87568984946867,227.98124397985916,13.655329335221387,124.14284446220869,1055.0
Ridge,AP,AP,310.9277244189606,402.94764884027217,6.274488741593923,162.809739294868,1289.0
Ridge,ATSI,OE,350.5320597079445,485.05689862868667,5.434155775676325,152.91569562395105,1289.0
Ridge,ATSI,PAPWR,92.5061385142209,122.825781650461,18.47472816808125,50.08669496574717,1289.0
Ridge,OVEC,OVEC,95.54000352499509,129.65644728629024,277.1397814641419,43.485058251352214,1293.0
Ridge,AEP,AEPAPT,235.8726634136398,294.0649600409253,6.517768230698366,147.61600443914594,1304.0
Ridge,AEP,AEPIMP,157.53135174754982,210.86071427207287,4.898206701504513,63.91116075051636,1304.0
Ridge,AEP,AEPKPT,91.14085372990358,124.7513728213094,16.821555113072765,48.14726211194023,1304.0
Ridge,AEP,AEPOPT,306.38120772633124,424.04428922852327,3.8894191193014827,100.82091488180482,1304.0
Ridge,CE,CE,678.9271483721982,916.3010330460144,7.225162670654633,282.12354540956886,1304.0
Lasso,DEOK,DEOK,229.710473572021,285.05365204171056,6.731933181105472,-24.579518893512304,612.0
Lasso,EKPC,EKPC,167.8502771777499,215.30387727962562,12.781561133062993,96.07342600627294,1055.0
Lasso,AP,AP,290.168672846985,387.8049640861079,5.75648261311758,81.75267516286632,1289.0
Lasso,ATSI,OE,335.95405311093623,478.8694473485446,5.1413057508313935,74.0019162065378,1289.0
Lasso,ATSI,PAPWR,90.69328530237779,118.38585338599447,18.181103696323568,39.753750555876564,1289.0
Lasso,OVEC,OVEC,93.00709426734888,126.95397108577151,270.8721218637459,37.03615795120794,1293.0
Lasso,AEP,AEPAPT,202.8516893854351,268.7992115658469,5.512960499106153,70.93820276576318,1304.0
Lasso,AEP,AEPIMP,154.12126230322048,208.25173075768342,4.779769063151287,47.74991842641628,1304.0
Lasso,AEP,AEPKPT,88.08163355046493,118.97686761955309,16.295280954909,34.73142177397107,1304.0
Lasso,AEP,AEPOPT,303.6279602782974,424.50303889998986,3.8266189993689235,51.81694051334355,1304.0
Lasso,CE,CE,651.1768448951153,902.3046981584112,6.840030356398262,145.66096013793745,1304.0
